Qual a sua situação atual em relação ao curso de CeT?;Qual Campus e turno você pertence / pertenceu?;Em qual ano e semestre você ingressou no curso de CeT? Exemplo 2010.1;Em qual semestre você concluiu, desistiu ou encontra-se atualmente?Exemplo 2015.2;Com relação ao ingresso no curso de CeT, esta sempre foi a sua primeira opção de curso?;Antes de ingressar no curso você já possuía algum conhecimento prévio na área?;Antes de ingressar na universidade, em que tipo de escola você cursou o ensino médio?;Caso tenha estudado em escola pública, qual foi o tipo de instituição?;Antes de ingressar no ensino médio, em que tipo de escola você cursou o ensino fundamental?;Caso tenha estudado em escola pública, qual foi o tipo de instituição?_1;Antes de entrar na universidade em qual cidade/estado você morava?;Ao ingressar na universidade você se mudou para morar na mesma cidade do campus que se matriculou?;Você chegou a morar na vila acadêmica?;Qual seu gênero?;A qual raça você se considera pertencer?;Qual seu Estado Civil?;Você tem filhos;Você trabalha?;Qual a renda mensal da sua família ao ingressar na universidade?;Você foi contemplado alguma bolsa durante o período que esteve no curso?;Em relação ao seu aproveitamento acadêmico, até o segundo semestre do curso você foi?;Você considera que durante o período que esteve no curso teve o devido acompanhamento da universidade? Exemplo: PROAE ou Coordenação docurso.;Você considera que a grade curricular do curso de CeT é adequado ao que se exige no mercado de trabalho?;Em relação à cadeia de pré-requisitos das disciplinas do curso, você considera adequado?;Em relação aos critérios de avaliação do desempenho do aluno, você considera adequado?;Em relação à infraestrutura da instituição como laboratórios, bibliotecas, equipamentos de informática e etc, você considera adequada?;Em relação aos professores, você considera que os mesmos apresentam deficiências pedagógicas, desinteresse ou outros problemas?;Você considera que as carreiras relacionadas ao curso de CeT são socialmente reconhecidas?;Em relação ao mercado, você considera que o profissional formado em CeT é pago adequadamente?;Em relação aos seus pais, durante o período que você estava no curso, eles eram casados?;Em relação a sua mãe, qual o nível de escolaridade dela?;Em relação a seu pai, qual o nível de escolaridade dele?;cod_aluno
Concludente/Egresso;Mossoró - Diurno;2019.1;2021.2;Sim, sempre quis cursar CeT;Sim;privada;;Privada;;Tabuleiro do Norte - CEARÁ;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 2501 e 3000 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Ensino superior Completo;Ensino superior Completo;1
Concludente/Egresso;Mossoró - Diurno;2019.1;2021.2;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;Upanema - RN;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1501 e 2000 reais;Sim;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Ensino médio completo;Ensino fundamental Completo;2
Concludente/Egresso;Mossoró - Diurno;2017.1;2021.1;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Escola Estadual;Tibau/RN;Sim;Não;Masculino;Negro;Solteiro;Não;Sim;Entre 501 e 1000 reais;Não;Reprovado em duas disciplinas;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Ensino médio completo;Ensino fundamental incompleto;3
Concludente/Egresso;Angicos - Diurno;2019.1;2021.2;Sim, sempre quis cursar CeT;Sim;Pública;Instituto Federal;Pública;Escola Estadual;Ipueira-RN;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Aprovado em todas as disciplinas;Não;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Ensino médio completo;Ensino fundamental Completo;4
Concludente/Egresso;Mossoró - Noturno;2013.1;2021.1;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;MOSSORÓ;Eu já morava na mesma cidade;Não;Masculino;Pardo;Casado;Não;Sim;Entre 1001 e 1500 reais;Sim;Aprovado em todas as disciplinas;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Ensino médio incompleto;Ensino fundamental incompleto;5
Concludente/Egresso;Mossoró - Diurno;2018.1;2021.1;Não, esse foi o curso que consegui ingressar;Sim;privada;;Privada;;Tibau;Não;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 1501 e 2000 reais;Sim;Aprovado em todas as disciplinas;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Ensino superior Completo;Ensino fundamental incompleto;6
Concludente/Egresso;Caraúbas - Diurno;2017.1;2021.1;Não, esse foi o curso que consegui ingressar;Sim;Pública;;Privada;;pb;Sim;Não;Masculino;Branco;Solteiro;Não;Não;Entre 2001 e 2500 reais;Não;Reprovado em cinco ou mais disciplinas;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Ensino superior incompleto;Ensino superior incompleto;7
Concludente/Egresso;Mossoró - Diurno;2020.1;2021.1;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Privada;;Cascavel-CE;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Aprovado em todas as disciplinas;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Pós-graduação completa;Ensino médio completo;8
Concludente/Egresso;Mossoró - Diurno;2018.1;2021.1;Sim, sempre quis cursar CeT;Não;privada;;Privada;;Mossoró;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 2001 e 2500 reais;Não;Aprovado em todas as disciplinas;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Ensino superior Completo;Ensino superior Completo;9
Concludente/Egresso;Mossoró - Diurno;2019.2;2021.2;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;Governador Dix-Sept Rosado/ RN;Não;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Não;Aprovado em todas as disciplinas;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Ensino fundamental incompleto;Ensino fundamental incompleto;10
